locationId,location,city,country,utc,date,time,value,unit,latitude,longitude
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:30:00+00:00,03-01-2019,T22:00:00+05:30,64.22,µg/m³,12.9352049,77.6814488
5548,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:30:00+00:00,03-01-2019,T22:00:00+05:30,81.96,µg/m³,12.9135218,77.5950804
5607,"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:30:00+00:00,03-01-2019,T22:00:00+05:30,78.96,µg/m³,13.0270199,77.494094
5548,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,77.86,µg/m³,12.9135218,77.5950804
6984,"Hebbal, Bengaluru - KSPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,56,µg/m³,13.029152,77.585901
6975,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,45,µg/m³,12.917348,77.622813
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,52.59,µg/m³,12.9352049,77.6814488
6983,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,52,µg/m³,12.938539,77.5901
6974,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,64,µg/m³,12.951913,77.539784
5607,"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-01-03T16:15:00+00:00,03-01-2019,T21:45:00+05:30,78.96,µg/m³,13.0270199,77.494094
6974,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-01-03T16:00:00+00:00,03-01-2019,T21:30:00+05:30,66,µg/m³,12.951913,77.539784
